material_name,current_stock,unit,expiry_date,cost_per_unit,minimum_stock_level,days_until_expiry
Chicken Breast,48,kg,2025-10-02 23:46:42.063118,9.210654573520861,10,2
Beef Tenderloin,20,kg,2025-10-13 23:46:42.063118,7.469327633498754,14,13
Mixed Vegetables,88,kg,2025-09-30 23:46:42.063118,49.729667195318434,15,0
Pasta,35,pieces,2025-10-06 23:46:42.063118,19.81175829576082,7,6
Fish Fillet,79,kg,2025-10-12 23:46:42.063118,33.23461986456561,12,12
Tomato Sauce,76,pieces,2025-10-10 23:46:42.063118,23.028476277802095,12,10
Olive Oil,72,pieces,2025-10-01 23:46:42.063118,27.973631951414667,13,1
Onions,30,pieces,2025-10-09 23:46:42.063118,4.13245685155294,8,9
Garlic,33,pieces,2025-10-03 23:46:42.063118,35.48132128613653,17,3
Salt,75,pieces,2025-10-03 23:46:42.063118,13.340033317105808,19,3
Pepper,73,pieces,2025-10-02 23:46:42.063118,42.15624787100434,19,2
Herbs,88,pieces,2025-10-05 23:46:42.063118,20.951063857407078,14,5
