material_name,current_stock,unit,expiry_date,cost_per_unit,minimum_stock_level,days_until_expiry
Chicken Breast,57,kg,2025-10-02 12:38:16.350308,27.02335791596625,6,6
Beef Tenderloin,12,kg,2025-09-30 12:38:16.350308,18.662960178108207,12,4
Mixed Vegetables,56,kg,2025-10-03 12:38:16.350308,15.744634776406617,19,7
Pasta,49,pieces,2025-10-09 12:38:16.350308,49.61889373005197,17,13
Fish Fillet,15,kg,2025-09-26 12:38:16.350308,45.67034606662688,6,0
Tomato Sauce,82,pieces,2025-09-29 12:38:16.350308,34.42818339306037,13,3
Olive Oil,84,pieces,2025-10-07 12:38:16.350308,24.807844298992755,15,11
Onions,67,pieces,2025-09-26 12:38:16.350308,23.877163165124465,12,0
Garlic,28,pieces,2025-09-27 12:38:16.350308,43.38334933698947,10,1
Salt,30,pieces,2025-10-07 12:38:16.350308,44.55419764159127,5,11
Pepper,72,pieces,2025-10-09 12:38:16.350308,11.726057350113402,13,13
Herbs,42,pieces,2025-10-03 12:38:16.350308,32.60627120814661,17,7
