date,dish_name,predicted_quantity,seasonal_factor,weekend_factor
2025-09-26,Beef Steak,11,1.0,1.0
2025-09-26,Chicken Curry,17,1.0,1.0
2025-09-26,Fish Soup,14,1.0,1.0
2025-09-26,Pasta Marinara,20,1.0,1.0
2025-09-26,Vegetable Salad,23,1.0,1.0
2025-09-27,Beef Steak,14,1.0,1.2
2025-09-27,Chicken Curry,21,1.0,1.2
2025-09-27,Fish Soup,16,1.0,1.2
2025-09-27,Pasta Marinara,25,1.0,1.2
2025-09-27,Vegetable Salad,27,1.0,1.2
2025-09-28,Beef Steak,14,1.0,1.2
2025-09-28,Chicken Curry,21,1.0,1.2
2025-09-28,Fish Soup,16,1.0,1.2
2025-09-28,Pasta Marinara,25,1.0,1.2
2025-09-28,Vegetable Salad,27,1.0,1.2
2025-09-29,Beef Steak,11,1.0,1.0
2025-09-29,Chicken Curry,17,1.0,1.0
2025-09-29,Fish Soup,14,1.0,1.0
2025-09-29,Pasta Marinara,20,1.0,1.0
2025-09-29,Vegetable Salad,23,1.0,1.0
2025-09-30,Beef Steak,11,1.0,1.0
2025-09-30,Chicken Curry,17,1.0,1.0
2025-09-30,Fish Soup,14,1.0,1.0
2025-09-30,Pasta Marinara,20,1.0,1.0
2025-09-30,Vegetable Salad,23,1.0,1.0
2025-10-01,Beef Steak,11,1.0,1.0
2025-10-01,Chicken Curry,17,1.0,1.0
2025-10-01,Fish Soup,14,1.0,1.0
2025-10-01,Pasta Marinara,20,1.0,1.0
2025-10-01,Vegetable Salad,23,1.0,1.0
2025-10-02,Beef Steak,11,1.0,1.0
2025-10-02,Chicken Curry,17,1.0,1.0
2025-10-02,Fish Soup,14,1.0,1.0
2025-10-02,Pasta Marinara,20,1.0,1.0
2025-10-02,Vegetable Salad,23,1.0,1.0
